US Open,1990,27.08.-09.09.
US Open,1991,26.08.-08.09.
US Open,1992,31.08.-13.09.
US Open,1993,30.08.-12.09.
US Open,1994,29.08.-11.09.
US Open,1995,28.08.-10.09.
US Open,1996,28.08.-10.09.
US Open,1997,25.08.-07.09.
US Open,1998,31.08.-13.09.
US Open,1999,30.08.-12.09.
US Open,2000,28.08.-10.09.
US Open,2001,27.08.-09.09.
US Open,2002,26.08.-08.09.
US Open,2003,25.08.-07.09.
US Open,2004,30.08.-12.09.
US Open,2005,29.08.-11.09.
US Open,2006,28.08.-10.09.
US Open,2007,27.08.-09.09.
US Open,2008,25.08.-08.09.
Wimbledon,1968,24.06.-06.07.
Wimbledon,1969,23.06.-05.07.
Wimbledon,1970,22.06.-04.07.
Wimbledon,1971,21.06.-03.07.
Wimbledon,1972,26.06.-09.07.
Wimbledon,1973,25.06.-08.07.
Wimbledon,1974,24.06.-06.07.
Wimbledon,1975,23.06.-05.07.
Wimbledon,1976,21.06.-03.07.
Wimbledon,1977,20.06.-02.07.
Wimbledon,1978,26.06.-08.07.
Wimbledon,1979,25.06.-07.07.
Wimbledon,1980,23.06.-06.07.
Wimbledon,1981,22.06.-04.07.
Wimbledon,1982,21.06.-04.07.
Wimbledon,1983,20.06.-03.07.
Wimbledon,1984,25.06.-08.07.
Wimbledon,1985,24.06.-07.07.
Wimbledon,1986,23.06.-06.07.
Wimbledon,1987,22.06.-05.07.
Wimbledon,1988,20.06.-04.07.
Wimbledon,1989,26.06.-09.07.
Wimbledon,1990,25.06.-08.07.
Wimbledon,1991,24.06.-07.07.
Wimbledon,1992,22.06.-05.07.
Wimbledon,1993,21.06.-04.07.
Wimbledon,1994,20.06.-03.07.
Wimbledon,1995,26.06.-09.07.
Wimbledon,1996,24.06.-07.07.
Wimbledon,1997,23.06.-06.07.
Wimbledon,1998,22.06.-05.07.
Wimbledon,1999,21.06.-04.07.
Wimbledon,2000,26.06.-09.07.
Wimbledon,2001,25.06.-09.07.
Wimbledon,2002,24.06.-07.07.
Wimbledon,2003,23.06.-06.07.
Wimbledon,2004,21.06.-04.07.
Wimbledon,2005,20.06.-03.07.
Wimbledon,2006,26.06.-09.07.
Wimbledon,2007,25.06.-08.07.
Wimbledon,2008,23.06.-06.07.
