Atlanta,1996-W-OL-USA-01A-1996,SF,2205,1051,00.00.0000-00.00.0000,WTA,1996,Halbfinale,27471,86565,weg,
Atlanta,1996-W-OL-USA-01A-1996,F,2205,1051,00.00.0000-00.00.0000,WTA,1996,Finale,27471,86566,weg,
Atlanta,1997-W-WT-USA-08A-1997,R32,2206,1051,00.00.0000-00.00.0000,WTA,1997,3. Runde,27472,86567,weg,
Atlanta,1997-W-WT-USA-08A-1997,R16,2206,1051,00.00.0000-00.00.0000,WTA,1997,Achtelfinale,27472,86568,weg,
Atlanta,1997-W-WT-USA-08A-1997,QF,2206,1051,00.00.0000-00.00.0000,WTA,1997,Viertelfinale,27472,86569,weg,
Atlanta,1997-W-WT-USA-08A-1997,SF,2206,1051,00.00.0000-00.00.0000,WTA,1997,Halbfinale,27472,86570,weg,
Atlanta,1997-W-WT-USA-08A-1997,F,2206,1051,00.00.0000-00.00.0000,WTA,1997,Finale,27472,86571,weg,
Birmingham,1982-W-WT-GBR-01A-1982,R64,2191,1021,00.00.0000-00.00.0000,WTA,1982,2. Runde,27473,86572,,
Birmingham,1982-W-WT-GBR-01A-1982,R32,2191,1021,00.00.0000-00.00.0000,WTA,1982,3. Runde,27473,86573,,
Birmingham,1982-W-WT-GBR-01A-1982,R16,2191,1021,00.00.0000-00.00.0000,WTA,1982,Achtelfinale,27473,86574,,
Birmingham,1982-W-WT-GBR-01A-1982,QF,2191,1021,00.00.0000-00.00.0000,WTA,1982,Viertelfinale,27473,86575,,
Birmingham,1982-W-WT-GBR-01A-1982,SF,2191,1021,00.00.0000-00.00.0000,WTA,1982,Halbfinale,27473,86576,,
Birmingham,1982-W-WT-GBR-01A-1982,F,2191,1021,00.00.0000-00.00.0000,WTA,1982,Finale,27473,86577,,
Birmingham,1983-W-WT-GBR-01A-1983,R64,2192,1021,00.00.0000-00.00.0000,WTA,1983,2. Runde,27474,86578,,
Birmingham,1983-W-WT-GBR-01A-1983,R32,2192,1021,00.00.0000-00.00.0000,WTA,1983,3. Runde,27474,86579,,
Birmingham,1983-W-WT-GBR-01A-1983,R16,2192,1021,00.00.0000-00.00.0000,WTA,1983,Achtelfinale,27474,86580,,
Birmingham,1983-W-WT-GBR-01A-1983,QF,2192,1021,00.00.0000-00.00.0000,WTA,1983,Viertelfinale,27474,86581,,
Birmingham,1983-W-WT-GBR-01A-1983,SF,2192,1021,00.00.0000-00.00.0000,WTA,1983,Halbfinale,27474,86582,,
Birmingham,1983-W-WT-GBR-01A-1983,F,2192,1021,00.00.0000-00.00.0000,WTA,1983,Finale,27474,86583,,
Birmingham,1984-W-WT-GBR-01A-1984,R64,2193,1021,00.00.0000-00.00.0000,WTA,1984,2. Runde,27475,86584,,
Birmingham,1984-W-WT-GBR-01A-1984,R32,2193,1021,00.00.0000-00.00.0000,WTA,1984,3. Runde,27475,86585,,
