2003-520,Roland Garros,Clay,128,25324
2003-560,US Open,Hard,128,25365
2003-580,Australian Open,Hard,128,25204
2003-540,Wimbledon,Grass,128,25447
2004-560,US Open,Hard,128,25366
2004-520,Roland Garros,Clay,128,25325
2004-580,Australian Open,Hard,128,25205
2004-540,Wimbledon,Grass,128,25448
2005-520,Roland Garros,Clay,128,25326
2005-580,Australian Open,Hard,128,25206
2005-540,Wimbledon,Grass,128,25449
2005-560,US Open,Hard,128,25367
2006-520,Roland Garros,Clay,128,25327
2006-540,Wimbledon,Grass,128,25450
2006-580,Australian Open,Hard,128,25207
2006-560,US Open,Hard,128,25368
2007-560,US Open,Hard,128,25369
2007-520,Roland Garros,Clay,128,25328
2007-540,Wimbledon,Grass,128,25451
2007-580,Australian Open,Hard,128,25208
2008-540,Wimbledon,Grass,128,25452
2008-520,Roland Garros,Clay,128,25329
2008-580,Australian Open,Hard,128,25209
2008-560,US Open,Hard,128,603
2009-560,US Open,Hard,128,
2009-580,Australian Open,Hard,128,
2009-520,Roland Garros,Clay,128,
2009-540,Wimbledon,Grass,128,
2010-540,Wimbledon,Grass,128,
2010-560,US Open,Hard,128,
2010-580,Australian Open,Hard,128,
2010-520,Roland Garros,Clay,128,
2011-560,US Open,Hard,128,
2011-580,Australian Open,Hard,128,
2011-540,Wimbledon,Grass,128,
2011-520,Roland Garros,Clay,128,
2012-540,Wimbledon,Grass,128,
2012-520,Roland Garros,Clay,128,
2012-580,Australian Open,Hard,128,
2012-560,US Open,Hard,128,
2013-540,Wimbledon,Grass,128,
2013-560,US Open,Hard,128,
2013-580,Australian Open,Hard,128,
2013-520,Roland Garros,Clay,128,
2014-580,Australian Open,Hard,128,
2014-520,Roland Garros,Clay,128,
2014-540,Wimbledon,Grass,128,
2014-560,US Open,Hard,128,
2015-540,Wimbledon,Grass,128,
2015-560,US Open,Hard,128,
2015-580,Australian Open,Hard,128,
2015-520,Roland Garros,Clay,128,
2016-580,Australian Open,Hard,128,
2016-520,Roland Garros,Clay,128,
2016-540,Wimbledon,Grass,128,
2017-580,Australian Open,Hard,128,
2017-520,Roland Garros,Clay,128,
2017-540,Wimbledon,Grass,128,
1968-W-SL-FRA-01A-1968,French Open,Clay,96,25248
1968-W-SL-GBR-01A-1968,Wimbledon,Grass,96,25453
1968-W-SL-USA-01A-1968,US Open,Grass,64,25371
1969-W-SL-AUS-01A-1969,Australian Open,Grass,32,25210
1969-W-SL-FRA-01A-1969,French Open,Clay,64,25249
1969-W-SL-GBR-01A-1969,Wimbledon,Grass,96,25454
1969-W-SL-USA-01A-1969,US Open,Grass,64,25372
1970-W-SL-AUS-01A-1970,Australian Open,Grass,43,25211
1970-W-SL-FRA-01A-1970,French Open,Clay,32,25250
1970-W-SL-GBR-01A-1970,Wimbledon,Grass,96,25455
1970-W-SL-USA-01A-1970,US Open,Grass,64,25373
1971-W-SL-AUS-01A-1971,Australian Open,Grass,30,25212
1971-W-SL-FRA-01A-1971,French Open,Clay,64,25251
1971-W-SL-GBR-01A-1971,Wimbledon,Grass,96,25456
1971-W-SL-USA-01A-1971,US Open,Grass,64,25374
1972-W-SL-AUS-01A-1972,Australian Open,Grass,32,25213
1972-W-SL-FRA-01A-1972,French Open,Clay,17,25252
1972-W-SL-GBR-01A-1972,Wimbledon,Grass,96,25457
1972-W-SL-USA-01A-1972,US Open,Grass,64,25375
1973-W-SL-AUS-01A-1973,Australian Open,Grass,48,25214
1973-W-SL-FRA-01A-1973,French Open,Clay,64,25253
1973-W-SL-GBR-01A-1973,Wimbledon,Grass,96,25458
1973-W-SL-USA-01A-1973,US Open,Grass,64,25376
1974-W-SL-AUS-01A-1974,Australian Open,Grass,56,25215
1974-W-SL-FRA-01A-1974,French Open,Clay,64,25254
1974-W-SL-GBR-01A-1974,Wimbledon,Grass,96,25459
1974-W-SL-USA-01A-1974,US Open,Grass,64,25377
1975-W-SL-AUS-01A-1975,Australian Open,Grass,56,25216
1975-W-SL-FRA-01A-1975,French Open,Clay,64,25255
1975-W-SL-GBR-01A-1975,Wimbledon,Grass,96,25460
1975-W-SL-USA-01A-1975,US Open,Clay,64,25378
1976-W-SL-AUS-01A-1976,Australian Open,Grass,32,25217
1976-W-SL-FRA-01A-1976,French Open,Clay,64,25256
1976-W-SL-GBR-01A-1976,Wimbledon,Grass,96,25461
1976-W-SL-USA-01A-1976,US Open,Clay,96,25379
1977-W-SL-AUS-01A-1977,Australian Open,Grass,32,25218
1977-W-SL-AUS-02A-1977,Australian Open,Grass,32,25218
1977-W-SL-FRA-01A-1977,French Open,Clay,64,25257
1977-W-SL-GBR-01A-1977,Wimbledon,Grass,96,25462
1977-W-SL-USA-01A-1977,US Open,Clay,97,25380
1978-W-SL-AUS-01A-1978,Australian Open,Grass,32,25219
1978-W-SL-FRA-01A-1978,French Open,Clay,64,25258
1978-W-SL-GBR-01A-1978,Wimbledon,Grass,33,25463
1978-W-SL-USA-01A-1978,US Open,Hard,96,25381
1979-W-SL-FRA-01A-1979,French Open,Clay,64,25259
1979-W-SL-GBR-01A-1979,Wimbledon,Grass,96,25464
1979-W-SL-USA-01A-1979,US Open,Hard,96,25382
1980-W-SL-AUS-01A-1979,Australian Open,Grass,32,25220
1980-W-SL-AUS-01A-1980,Australian Open,Grass,56,25220
1980-W-SL-FRA-01A-1980,French Open,Clay,64,25260
1980-W-SL-GBR-01A-1980,Wimbledon,Grass,96,25465
1980-W-SL-USA-01A-1980,US Open,Hard,33,25383
1981-W-SL-AUS-01A-1981,Australian Open,Grass,56,25221
1981-W-SL-FRA-01A-1981,French Open,Clay,96,25261
1981-W-SL-GBR-01A-1981,Wimbledon,Grass,96,25466
1981-W-SL-USA-01A-1981,US Open,Hard,128,25384
1982-W-SL-AUS-01A-1982,Australian Open,Grass,56,25222
1982-W-SL-FRA-01A-1982,French Open,Clay,96,25262
1982-W-SL-GBR-01A-1982,Wimbledon,Grass,96,25467
1982-W-SL-USA-01A-1982,US Open,Hard,128,25385
1983-W-SL-AUS-01A-1983,Australian Open,Grass,64,25223
1983-W-SL-FRA-01A-1983,French Open,Clay,128,25263
1983-W-SL-GBR-01A-1983,Wimbledon,Grass,128,25468
1983-W-SL-USA-01A-1983,US Open,Hard,128,25386
1984-W-SL-AUS-01A-1984,Australian Open,Grass,64,25224
1984-W-SL-FRA-01A-1984,French Open,Clay,128,25264
1984-W-SL-GBR-01A-1984,Wimbledon,Grass,128,25469
1984-W-SL-USA-01A-1984,US Open,Hard,128,25387
1985-W-SL-AUS-01A-1985,Australian Open,Grass,64,25225
1985-W-SL-FRA-01A-1985,French Open,Clay,128,25265
1985-W-SL-GBR-01A-1985,Wimbledon,Grass,128,25470
1985-W-SL-USA-01A-1985,US Open,Hard,128,25388
1986-W-SL-FRA-01A-1986,French Open,Clay,128,25266
1986-W-SL-GBR-01A-1986,Wimbledon,Grass,128,25471
1986-W-SL-USA-01A-1986,US Open,Hard,128,25389
1987-W-SL-AUS-01A-1987,Australian Open,Grass,96,25226
1987-W-SL-FRA-01A-1987,French Open,Clay,128,25267
1987-W-SL-GBR-01A-1987,Wimbledon,Grass,128,25472
1987-W-SL-USA-01A-1987,US Open,Hard,128,25390
1988-W-SL-AUS-01A-1988,Australian Open,Hard,128,25227
1988-W-SL-FRA-01A-1988,French Open,Clay,128,25268
1988-W-SL-GBR-01A-1988,Wimbledon,Grass,128,25473
1988-W-SL-USA-01A-1988,US Open,Hard,128,25391
1989-W-SL-AUS-01A-1989,Australian Open,Hard,128,25228
1989-W-SL-FRA-01A-1989,French Open,Clay,128,25269
1989-W-SL-GBR-01A-1989,Wimbledon,Grass,128,25474
1989-W-SL-USA-01A-1989,US Open,Hard,128,25392
1990-W-SL-AUS-01A-1990,Australian Open,Hard,128,25229
1990-W-SL-FRA-01A-1990,French Open,Clay,128,25270
1990-W-SL-GBR-01A-1990,Wimbledon,Grass,128,25475
1990-W-SL-USA-01A-1990,US Open,Hard,128,25393
1991-W-SL-AUS-01A-1991,Australian Open,Hard,128,25230
1991-W-SL-FRA-01A-1991,French Open,Clay,128,25271
1991-W-SL-GBR-01A-1991,Wimbledon,Grass,128,25476
1991-W-SL-USA-01A-1991,US Open,Hard,128,25394
1992-W-SL-AUS-01A-1992,Australian Open,Hard,128,25231
