100249,Paolo,Bertolucci,R,19510803,ITA,atp,1968_Barcelona++1972_Queen's Club++1973_Queen's Club++1973_Barcelona++1975_Barcelona++1976_Barcelona++1977_Basel++1977_Barcelona++1978_Barcelona++1979_Barcelona++1980_Barcelona++1980_Vienna++1981_Barcelona,137770
109879,Jose Luis,Arillla,R,,ESP,atp,1968_Barcelona++1969_Barcelona++1970_Barcelona,137471
100032,Patricio,Rodriguez CHI,R,19381220,CHI,atp,1968_Barcelona++1969_Barcelona++1970_Queen's Club++1970_Barcelona++1972_Barcelona++1973_Barcelona,137475
100023,Ramanathan,Krishnan,R,19370411,IND,atp,1968_Barcelona,137339
100214,Adriano,Panatta,R,19500709,ITA,atp,1968_Barcelona++1971_Queen's Club++1972_Queen's Club++1973_Queen's Club++1973_Barcelona++1975_Barcelona++1976_Barcelona++1977_Queen's Club++1977_Rotterdam++1978_Tokyo Outdoor++1978_Queen's Club++1978_Barcelona++1978_Tokyo Indoor++1979_Barcelona++1980_Barcelona++1980_Rotterdam++1981_Barcelona++1982_Basel++1982_Vienna++1982_Barcelona,137593
106971,Ezio,Di Matteo,R,,ITA,atp,1968_Barcelona++1972_Queen's Club++1973_Barcelona,137640
109762,Carlos,Fernandez,R,,BRA,atp,1968_Barcelona,137477
100050,Martin,Mulligan,R,19401018,AUS,atp,1968_Barcelona++1969_Barcelona++1973_Barcelona,137637
106922,Eduardo,Gorostagia,R,,BOL,atp,1969_Barcelona,137555
100051,Premjit,Lall,R,19401020,IND,atp,1969_Barcelona++1969_Queen's Club++1970_Queen's Club++1972_Queen's Club++1974_Washington,137358
100174,Manuel,Orantes,L,19490206,ESP,atp,1969_Barcelona++1970_Queen's Club++1970_Barcelona++1972_Barcelona++1972_Washington++1973_Barcelona++1973_Washington++1974_Rotterdam++1974_Washington++1974_Barcelona++1975_Barcelona++1975_Tokyo++1976_Barcelona++1977_Tokyo Outdoor++1977_Barcelona++1977_Rotterdam++1978_Washington++1979_Barcelona++1979_Washington++1980_Washington++1981_Washington++1981_Rotterdam++1981_Barcelona++1983_Basel++1983_Washington++1983_Barcelona,137455
110004,Josef,Stabholz,R,,ISR,atp,1969_Barcelona,0
110005,Bryan,Burrell,U,,UNK,atp,1969_Barcelona,0
100175,Zan,Guerry,R,19490212,USA,atp,1969_Barcelona++1970_Washington++1976_Washington++1976_Vienna++1977_Barcelona++1977_Washington++1981_Washington,137646
