2001-807,Acapulco,Clay,32,A,20010226,20,103084,,Q,Guillermo Canas,R,185,ARG,23.2553045859,207,184,102271,8,,Hicham Arazi,L,175,MAR,27.356605065,43,850,6-3 6-1,3,R16,74,3,0,52,25,19,16,8,1,2,0,0,52,39,21,2,8,5,10
2001-807,Acapulco,Clay,32,A,20010226,21,101843,,,Sergi Bruguera,R,188,ESP,30.1136208077,79,524,102610,5,,Albert Costa,R,180,ESP,25.6755646817,33,1005,7-5 6-3,3,R16,104,4,2,58,38,30,10,11,0,2,6,2,82,40,26,17,10,7,11
2001-807,Acapulco,Clay,32,A,20010226,22,102845,3,,Carlos Moya,R,190,ESP,24.501026694,25,1120,103252,,,Alberto Martin,R,175,ESP,22.5215605749,75,563,6-3 6-3,3,R16,71,6,2,52,28,24,14,9,4,4,3,5,54,26,19,13,9,6,9
2001-807,Acapulco,Clay,32,A,20010226,23,102104,,Q,Christian Ruud,R,188,NOR,28.5092402464,146,274,103324,,,Arnaud Di Pasquale,R,185,FRA,22.0424366872,61,675,6-4 7-6(6),3,R16,95,5,3,71,36,31,23,11,0,0,8,1,71,45,35,14,11,2,3
2001-807,Acapulco,Clay,32,A,20010226,24,102869,,WC,Galo Blanco,R,173,ESP,24.386036961,116,337,103151,,,Mariano Zabaleta,R,183,ARG,22.9952087611,66,630,4-6 7-6(4) 6-4,3,R16,137,12,1,91,53,39,23,16,0,3,10,3,104,63,42,22,16,3,6
2001-807,Acapulco,Clay,32,A,20010226,25,102856,1,,Gustavo Kuerten,R,190,BRA,24.462696783,1,4365,101897,,WC,Fernando Meligeni,L,180,BRA,29.87816564,100,399,6-7(3) 6-3 3-2 RET,3,QF,122,9,1,75,42,31,23,14,0,1,5,5,91,48,35,19,13,5,8
2001-807,Acapulco,Clay,32,A,20010226,26,103084,,Q,Guillermo Canas,R,185,ARG,23.2553045859,207,184,103292,4,,Gaston Gaudio,R,175,ARG,22.2176591376,29,1070,6-4 6-4,3,QF,96,12,3,55,37,33,9,10,0,0,7,2,80,52,37,13,10,8,10
2001-807,Acapulco,Clay,32,A,20010226,27,102845,3,,Carlos Moya,R,190,ESP,24.501026694,25,1120,101843,,,Sergi Bruguera,R,188,ESP,30.1136208077,79,524,1-6 7-5 6-4,3,QF,130,11,1,96,43,34,26,14,3,5,7,2,88,52,41,18,15,2,4
2001-807,Acapulco,Clay,32,A,20010226,28,102869,,WC,Galo Blanco,R,173,ESP,24.386036961,116,337,102104,,Q,Christian Ruud,R,188,NOR,28.5092402464,146,274,6-4 6-4,3,QF,95,9,2,84,47,34,20,10,7,7,9,2,60,34,26,14,10,4,6
2001-807,Acapulco,Clay,32,A,20010226,29,102856,1,,Gustavo Kuerten,R,190,BRA,24.462696783,1,4365,103084,,Q,Guillermo Canas,R,185,ARG,23.2553045859,207,184,6-1 6-4,3,SF,67,5,1,45,21,20,16,9,0,0,3,3,54,26,15,14,8,5,8
2001-807,Acapulco,Clay,32,A,20010226,30,102869,,WC,Galo Blanco,R,173,ESP,24.386036961,116,337,102845,3,,Carlos Moya,R,190,ESP,24.501026694,25,1120,6-4 6-7(3) 7-5,3,SF,141,5,1,102,52,36,34,17,3,4,14,2,97,50,39,28,17,2,5
2001-807,Acapulco,Clay,32,A,20010226,31,102856,1,,Gustavo Kuerten,R,190,BRA,24.462696783,1,4365,102869,,WC,Galo Blanco,R,173,ESP,24.386036961,116,337,6-4 6-2,3,F,82,11,5,71,44,34,12,9,5,5,8,0,55,38,24,9,9,1,4
2002-807,Acapulco,Clay,32,A,20020225,1,103163,1,,Tommy Haas,R,188,GER,23.8986995209,6,2515,103581,,LL,Flavio Saretta,R,183,BRA,21.6618754278,99,412,7-6(5) 6-2,3,R32,88,9,4,62,31,27,17,10,0,1,5,3,75,43,31,13,10,6,9
2002-807,Acapulco,Clay,32,A,20020225,2,102950,,,Fernando Vicente,R,180,ESP,24.9691991786,79,510,102644,,,Franco Squillari,L,183,ARG,26.5133470226,55,660,7-6(3) 6-4,3,R32,105,3,3,92,62,46,12,11,4,5,7,3,74,46,32,14,11,4,6
