"2181","30","Tennis WTA 1972",,"season",NULL,"1972-01-01","1972-12-31","yes","no","0","2017-11-07 09:34:45"
"2182","30","Tennis WTA 1973",,"season",NULL,"1973-01-01","1973-12-31","yes","no","0","2017-11-07 09:34:45"
"2183","30","Tennis WTA 1974",,"season",NULL,"1974-01-01","1974-12-31","yes","no","0","2017-11-07 09:34:45"
"2184","30","Tennis WTA 1975",,"season",NULL,"1975-01-01","1975-12-31","yes","no","0","2017-11-07 09:34:45"
"2185","30","Tennis WTA 1976",,"season",NULL,"1976-01-01","1976-12-31","yes","no","0","2017-11-07 09:34:45"
"2186","30","Tennis WTA 1977",,"season",NULL,"1977-01-01","1977-12-31","yes","no","0","2017-11-07 09:34:45"
"2187","30","Tennis WTA 1978",,"season",NULL,"1978-01-01","1978-12-31","yes","no","0","2017-11-07 09:34:45"
"2188","30","Tennis WTA 1979",,"season",NULL,"1979-01-01","1979-12-31","yes","no","0","2017-11-07 09:34:45"
"2189","30","Tennis WTA 1980",,"season",NULL,"1980-01-01","1980-12-31","yes","no","0","2017-11-07 09:34:45"
"2190","30","Tennis WTA 1981",,"season",NULL,"1981-01-01","1981-12-31","yes","no","0","2017-11-07 09:34:45"
"2191","30","Tennis WTA 1982",,"season",NULL,"1982-01-01","1982-12-31","yes","no","0","2017-11-07 09:34:45"
"2192","30","Tennis WTA 1983",,"season",NULL,"1983-01-01","1983-12-31","yes","no","0","2017-11-07 09:34:45"
"2193","30","Tennis WTA 1984",,"season",NULL,"1984-01-01","1984-12-31","yes","no","0","2017-11-07 09:34:45"
"2194","30","Tennis WTA 1985",,"season",NULL,"1985-01-01","1985-12-31","yes","no","0","2017-11-07 09:34:45"
"2195","30","Tennis WTA 1986",,"season",NULL,"1986-01-01","1986-12-31","yes","no","0","2017-11-07 09:34:45"
"2196","30","Tennis WTA 1987",,"season",NULL,"1987-01-01","1987-12-31","yes","no","0","2017-11-07 09:34:45"
"2197","30","Tennis WTA 1988",,"season",NULL,"1988-01-01","1988-12-31","yes","no","0","2017-11-07 09:34:45"
"2198","30","Tennis WTA 1989",,"season",NULL,"1989-01-01","1989-12-31","yes","no","0","2017-11-07 09:34:45"
"2199","30","Tennis WTA 1990",,"season",NULL,"1990-01-01","1990-12-31","yes","no","0","2017-11-07 09:34:45"
"2200","30","Tennis WTA 1991",,"season",NULL,"1991-01-01","1991-12-31","yes","no","0","2017-11-07 09:34:45"
"2201","30","Tennis WTA 1992",,"season",NULL,"1992-01-01","1992-12-31","yes","no","0","2017-11-07 09:34:45"
"2202","30","Tennis WTA 1993",,"season",NULL,"1993-01-01","1993-12-31","yes","no","0","2017-11-07 09:34:45"
"2203","30","Tennis WTA 1994",,"season",NULL,"1994-01-01","1994-12-31","yes","no","0","2017-11-07 09:34:45"
