1971-605,Masters,Carpet,7,M,19711204,009,100057,,,Pierre Barthes,R,,FRA,30.2231348392,,,100113,,,Jan Kodes,R,175,CZE,25.7604380561,,,6-3 6-4,3,RR,,,,,,,,,,,,,,,,,,,
1971-605,Masters,Carpet,7,M,19711204,010,100128,,,Cliff Richey,R,175,USA,24.9253935661,,,100057,,,Pierre Barthes,R,,FRA,30.2231348392,,,6-3 6-3,3,RR,,,,,,,,,,,,,,,,,,,
1971-605,Masters,Carpet,7,M,19711204,011,100126,,,Stan Smith,R,193,USA,24.9719370294,,,100057,,,Pierre Barthes,R,,FRA,30.2231348392,,,6-4 6-7 6-3,3,RR,,,,,,,,,,,,,,,,,,,
1971-605,Masters,Carpet,7,M,19711204,012,100141,,,Zeljko Franulovic,R,,CRO,24.476386037,,,100078,,,Clark Graebner,R,188,USA,28.0821355236,,,6-4 7-6,3,RR,,,,,,,,,,,,,,,,,,,
1971-605,Masters,Carpet,7,M,19711204,013,100113,,,Jan Kodes,R,175,CZE,25.7604380561,,,100141,,,Zeljko Franulovic,R,,CRO,24.476386037,,,6-4 2-6 7-5,3,RR,,,,,,,,,,,,,,,,,,,
1971-605,Masters,Carpet,7,M,19711204,014,100128,,,Cliff Richey,R,175,USA,24.9253935661,,,100141,,,Zeljko Franulovic,R,,CRO,24.476386037,,,6-4 6-3,3,RR,,,,,,,,,,,,,,,,,,,
1971-605,Masters,Carpet,7,M,19711204,015,100126,,,Stan Smith,R,193,USA,24.9719370294,,,100141,,,Zeljko Franulovic,R,,CRO,24.476386037,,,6-4 6-4,3,RR,,,,,,,,,,,,,,,,,,,
1971-605,Masters,Carpet,7,M,19711204,016,100113,,,Jan Kodes,R,175,CZE,25.7604380561,,,100078,,,Clark Graebner,R,188,USA,28.0821355236,,,7-6 6-4,3,RR,,,,,,,,,,,,,,,,,,,
1971-605,Masters,Carpet,7,M,19711204,017,100078,,,Clark Graebner,R,188,USA,28.0821355236,,,100128,,,Cliff Richey,R,175,USA,24.9253935661,,,6-7 6-4 6-3,3,RR,,,,,,,,,,,,,,,,,,,
1971-605,Masters,Carpet,7,M,19711204,018,100126,,,Stan Smith,R,193,USA,24.9719370294,,,100078,,,Clark Graebner,R,188,USA,28.0821355236,,,3-6 7-5 6-3,3,RR,,,,,,,,,,,,,,,,,,,
1971-605,Masters,Carpet,7,M,19711204,019,100128,,,Cliff Richey,R,175,USA,24.9253935661,,,100113,,,Jan Kodes,R,175,CZE,25.7604380561,,,6-2 3-6 6-4,3,RR,,,,,,,,,,,,,,,,,,,
1971-605,Masters,Carpet,7,M,19711204,020,100113,,,Jan Kodes,R,175,CZE,25.7604380561,,,100126,,,Stan Smith,R,193,USA,24.9719370294,,,6-4 3-6 6-4,3,RR,,,,,,,,,,,,,,,,,,,
