1,87991,15315,6,1,home
1,87991,15304,4,1,away
1,87991,15315,6,2,home
1,87991,15304,1,2,away
1,87991,15315,2,0,home
1,87991,15304,0,0,away
2,87991,15374,6,1,home
2,87991,14299,3,1,away
2,87991,15374,6,2,home
2,87991,14299,0,2,away
2,87991,15374,2,0,home
2,87991,14299,0,0,away
3,87991,3955,6,1,home
3,87991,138788,3,1,away
3,87991,3955,7,2,home
3,87991,138788,6,2,away
3,87991,3955,2,0,home
3,87991,138788,0,0,away
4,87991,138590,6,1,home
4,87991,138526,3,1,away
4,87991,138590,4,2,home
4,87991,138526,6,2,away
4,87991,138590,6,3,home
4,87991,138526,3,3,away
4,87991,138590,2,0,home
4,87991,138526,1,0,away
5,87991,14761,7,1,home
5,87991,138762,5,1,away
5,87991,14761,7,2,home
5,87991,138762,6,2,away
5,87991,14761,2,0,home
5,87991,138762,0,0,away
6,87991,14348,6,1,home
6,87991,14272,4,1,away
6,87991,14348,6,2,home
6,87991,14272,4,2,away
6,87991,14348,2,0,home
6,87991,14272,0,0,away
7,87991,3936,6,1,home
7,87991,138798,4,1,away
7,87991,3936,6,2,home
7,87991,138798,2,2,away
7,87991,3936,2,0,home
7,87991,138798,0,0,away
8,87991,138699,6,1,home
8,87991,138665,2,1,away
8,87991,138699,6,2,home
8,87991,138665,3,2,away
8,87991,138699,2,0,home
8,87991,138665,0,0,away
9,87991,138641,6,1,home
9,87991,138754,4,1,away
9,87991,138641,7,2,home
9,87991,138754,6,2,away
9,87991,138641,2,0,home
9,87991,138754,0,0,away
10,87991,138457,6,1,home
10,87991,15259,3,1,away
10,87991,138457,6,2,home
10,87991,15259,3,2,away
10,87991,138457,2,0,home
10,87991,15259,0,0,away
11,87991,14306,6,1,home
11,87991,3949,3,1,away
11,87991,14306,6,2,home
11,87991,3949,3,2,away
11,87991,14306,2,0,home
11,87991,3949,0,0,away
12,87991,14248,6,1,home
12,87991,138425,4,1,away
12,87991,14248,6,2,home
12,87991,138425,4,2,away
12,87991,14248,2,0,home
12,87991,138425,0,0,away
13,87991,138760,7,1,home
13,87991,14364,6,1,away
13,87991,138760,6,2,home
13,87991,14364,1,2,away
13,87991,138760,2,0,home
13,87991,14364,0,0,away
14,87991,138594,6,1,home
14,87991,15189,3,1,away
14,87991,138594,6,2,home
14,87991,15189,3,2,away
14,87991,138594,2,0,home
14,87991,15189,0,0,away
15,87991,14659,7,1,home
15,87991,138777,6,1,away
15,87991,14659,6,2,home
15,87991,138777,4,2,away
15,87991,14659,2,0,home
15,87991,138777,0,0,away
16,87991,138723,3,1,home
16,87991,138719,6,1,away
16,87991,138723,6,2,home
16,87991,138719,1,2,away
16,87991,138723,7,3,home
16,87991,138719,6,3,away
16,87991,138723,2,0,home
16,87991,138719,1,0,away
17,87992,15315,6,1,home
17,87992,15374,4,1,away
17,87992,15315,6,2,home
17,87992,15374,0,2,away
17,87992,15315,2,0,home
17,87992,15374,0,0,away
18,87992,138590,7,1,home
18,87992,3955,5,1,away
18,87992,138590,7,2,home
18,87992,3955,6,2,away
18,87992,138590,2,0,home
18,87992,3955,0,0,away
19,87992,14761,7,1,home
19,87992,14348,6,1,away
19,87992,14761,2,2,home
19,87992,14348,6,2,away
19,87992,14761,6,3,home
19,87992,14348,3,3,away
19,87992,14761,2,0,home
19,87992,14348,1,0,away
20,87992,3936,6,1,home
20,87992,138699,3,1,away
20,87992,3936,6,2,home
20,87992,138699,1,2,away
20,87992,3936,2,0,home
20,87992,138699,0,0,away
21,87992,138457,7,1,home
21,87992,138641,5,1,away
21,87992,138457,6,2,home
21,87992,138641,3,2,away
21,87992,138457,2,0,home
21,87992,138641,0,0,away
22,87992,14248,6,1,home
22,87992,14306,3,1,away
22,87992,14248,6,2,home
22,87992,14306,3,2,away
22,87992,14248,2,0,home
22,87992,14306,0,0,away
23,87992,138594,6,1,home
23,87992,138760,4,1,away
23,87992,138594,7,2,home
23,87992,138760,6,2,away
23,87992,138594,2,0,home
23,87992,138760,0,0,away
24,87992,138723,4,1,home
24,87992,14659,6,1,away
24,87992,138723,7,2,home
24,87992,14659,6,2,away
24,87992,138723,6,3,home
24,87992,14659,4,3,away
24,87992,138723,2,0,home
24,87992,14659,1,0,away
25,87993,15315,6,1,home
25,87993,138590,7,1,away
25,87993,15315,6,2,home
25,87993,138590,3,2,away
25,87993,15315,3,3,home
25,87993,138590,2,3,away
25,87993,15315,1,0,home
25,87993,138590,1,0,away
26,87993,3936,6,1,home
26,87993,14761,4,1,away
26,87993,3936,6,2,home
26,87993,14761,4,2,away
26,87993,3936,2,0,home
26,87993,14761,0,0,away
27,87993,14248,1,1,home
27,87993,138457,6,1,away
27,87993,14248,7,2,home
27,87993,138457,5,2,away
27,87993,14248,6,3,home
27,87993,138457,4,3,away
27,87993,14248,2,0,home
27,87993,138457,1,0,away
28,87993,138723,6,1,home
28,87993,138594,4,1,away
28,87993,138723,6,2,home
28,87993,138594,4,2,away
28,87993,138723,2,0,home
28,87993,138594,0,0,away
29,87994,15315,6,1,home
29,87994,3936,1,1,away
29,87994,15315,6,2,home
29,87994,3936,4,2,away
29,87994,15315,2,0,home
29,87994,3936,0,0,away
30,87994,138723,6,1,home
30,87994,14248,4,1,away
30,87994,138723,6,2,home
30,87994,14248,7,2,away
30,87994,138723,7,3,home
30,87994,14248,5,3,away
30,87994,138723,2,0,home
30,87994,14248,1,0,away
31,87995,15315,6,1,home
31,87995,138723,4,1,away
31,87995,15315,6,2,home
31,87995,138723,2,2,away
31,87995,15315,2,0,home
31,87995,138723,0,0,away
32,87996,14254,7,1,home
32,87996,14854,6,1,away
32,87996,14254,6,2,home
32,87996,14854,2,2,away
32,87996,14254,2,0,home
32,87996,14854,0,0,away
33,87996,14364,7,1,home
33,87996,138719,6,1,away
33,87996,14364,6,2,home
33,87996,138719,4,2,away
33,87996,14364,2,0,home
33,87996,138719,0,0,away
34,87996,14258,6,1,home
34,87996,138457,3,1,away
34,87996,14258,6,2,home
34,87996,138457,3,2,away
34,87996,14258,2,0,home
34,87996,138457,0,0,away
35,87996,14248,6,1,home
35,87996,15742,4,1,away
35,87996,14248,6,2,home
35,87996,15742,4,2,away
35,87996,14248,2,0,home
35,87996,15742,0,0,away
36,87996,14659,4,1,home
36,87996,3958,6,1,away
36,87996,14659,7,2,home
36,87996,3958,6,2,away
36,87996,14659,3,3,home
36,87996,3958,0,3,away
36,87996,14659,1,0,home
36,87996,3958,1,0,away
37,87996,138707,7,1,home
37,87996,138788,6,1,away
37,87996,138707,3,2,home
37,87996,138788,6,2,away
37,87996,138707,1,3,home
37,87996,138788,2,3,away
37,87996,138707,1,0,home
37,87996,138788,1,0,away
38,87996,14262,6,1,home
38,87996,14447,4,1,away
38,87996,14262,7,2,home
38,87996,14447,6,2,away
38,87996,14262,2,0,home
38,87996,14447,0,0,away
39,87996,15304,2,1,home
39,87996,138723,6,1,away
39,87996,15304,6,2,home
39,87996,138723,3,2,away
39,87996,15304,1,0,home
39,87996,138723,1,0,away
40,87996,14416,7,1,home
40,87996,3937,5,1,away
40,87996,14416,6,2,home
40,87996,3937,1,2,away
40,87996,14416,2,0,home
40,87996,3937,0,0,away
41,87996,138590,6,1,home
41,87996,14281,2,1,away
41,87996,138590,7,2,home
41,87996,14281,5,2,away
41,87996,138590,2,0,home
41,87996,14281,0,0,away
42,87996,138798,6,1,home
42,87996,14381,1,1,away
42,87996,138798,7,2,home
42,87996,14381,6,2,away
42,87996,138798,2,0,home
42,87996,14381,0,0,away
43,87996,15259,6,1,home
43,87996,14272,4,1,away
43,87996,15259,6,2,home
43,87996,14272,1,2,away
43,87996,15259,2,0,home
43,87996,14272,0,0,away
44,87996,138722,4,1,home
44,87996,138685,6,1,away
44,87996,138722,6,2,home
44,87996,138685,1,2,away
44,87996,138722,6,3,home
44,87996,138685,4,3,away
44,87996,138722,2,0,home
44,87996,138685,1,0,away
45,87996,138526,6,1,home
45,87996,138801,1,1,away
45,87996,138526,6,2,home
45,87996,138801,4,2,away
45,87996,138526,2,0,home
45,87996,138801,0,0,away
46,87996,3949,6,1,home
46,87996,138649,3,1,away
46,87996,3949,7,2,home
46,87996,138649,6,2,away
