86572,139557,7,1,home,1
86572,139467,5,1,away,1
86572,139557,1,2,home,1
86572,139467,6,2,away,1
86572,139557,6,3,home,1
86572,139467,2,3,away,1
86572,139557,2,0,home,1
86572,139467,1,0,away,1
86572,139083,4,1,home,2
86572,139501,6,1,away,2
86572,139083,6,2,home,2
86572,139501,1,2,away,2
86572,139083,6,3,home,2
86572,139501,1,3,away,2
86572,139083,2,0,home,2
86572,139501,1,0,away,2
86572,139332,6,1,home,3
86572,139435,2,1,away,3
86572,139332,7,2,home,3
86572,139435,5,2,away,3
86572,139332,2,0,home,3
86572,139435,0,0,away,3
86572,139314,6,1,home,4
86572,139421,3,1,away,4
86572,139314,7,2,home,4
86572,139421,6,2,away,4
86572,139314,2,0,home,4
86572,139421,0,0,away,4
86572,139374,3,1,home,5
86572,139488,6,1,away,5
86572,139374,6,2,home,5
86572,139488,3,2,away,5
86572,139374,6,3,home,5
86572,139488,3,3,away,5
86572,139374,2,0,home,5
86572,139488,1,0,away,5
86572,139510,6,1,home,6
86572,139015,3,1,away,6
86572,139510,7,2,home,6
86572,139015,5,2,away,6
86572,139510,2,0,home,6
86572,139015,0,0,away,6
86572,139429,6,1,home,7
86572,139485,4,1,away,7
86572,139429,6,2,home,7
86572,139485,3,2,away,7
86572,139429,2,0,home,7
86572,139485,0,0,away,7
86572,139452,6,1,home,8
86572,139342,0,1,away,8
86572,139452,2,2,home,8
86572,139342,6,2,away,8
86572,139452,6,3,home,8
86572,139342,3,3,away,8
86572,139452,2,0,home,8
86572,139342,1,0,away,8
86572,139038,6,1,home,9
86572,139040,4,1,away,9
86572,139038,2,2,home,9
86572,139040,6,2,away,9
86572,139038,6,3,home,9
86572,139040,3,3,away,9
86572,139038,2,0,home,9
86572,139040,1,0,away,9
86572,139371,6,1,home,10
86572,139389,4,1,away,10
86572,139371,5,2,home,10
86572,139389,7,2,away,10
86572,139371,6,3,home,10
86572,139389,4,3,away,10
86572,139371,2,0,home,10
86572,139389,1,0,away,10
86572,139441,7,1,home,11
86572,139387,5,1,away,11
86572,139441,6,2,home,11
86572,139387,7,2,away,11
86572,139441,6,3,home,11
86572,139387,1,3,away,11
86572,139441,2,0,home,11
86572,139387,1,0,away,11
86572,139546,6,1,home,12
86572,139464,3,1,away,12
86572,139546,7,2,home,12
86572,139464,6,2,away,12
86572,139546,2,0,home,12
86572,139464,0,0,away,12
86572,138919,6,1,home,13
86572,139422,1,1,away,13
86572,138919,6,2,home,13
86572,139422,1,2,away,13
86572,138919,2,0,home,13
86572,139422,0,0,away,13
86572,139232,6,1,home,14
86572,139426,4,1,away,14
86572,139232,3,2,home,14
86572,139426,6,2,away,14
86572,139232,6,3,home,14
86572,139426,3,3,away,14
86572,139232,2,0,home,14
86572,139426,1,0,away,14
86572,139414,6,1,home,15
86572,139364,1,1,away,15
86572,139414,7,2,home,15
86572,139364,6,2,away,15
86572,139414,2,0,home,15
86572,139364,0,0,away,15
86572,139508,7,1,home,16
86572,139095,6,1,away,16
86572,139508,7,2,home,16
86572,139095,5,2,away,16
86572,139508,2,0,home,16
86572,139095,0,0,away,16
86572,139395,5,1,home,17
86572,139380,7,1,away,17
86572,139395,6,2,home,17
86572,139380,3,2,away,17
86572,139395,6,3,home,17
86572,139380,2,3,away,17
86572,139395,2,0,home,17
86572,139380,1,0,away,17
86572,139341,7,1,home,18
86572,139182,6,1,away,18
